;Счет № 355/1;;;;;;;;Стр. 1 / 1
;Арт-л арм.;;;Название;;Размер;;Ориент.;Кол-во;Заказ / изделие
;KBE 737 (1,4);Армирующий профиль замкнутый 25*30 1,4 мм (ан 167);;;;;275,0мм.;Вертикальн.;1;355 / 1
;KBE 737 (1,4);Армирующий профиль замкнутый 25*30 1,4 мм (ан 167);;;;;905,0мм.;Вертикальн.;1;355 / 1
;KBE 737 (1,4);Армирующий профиль замкнутый 25*30 1,4 мм (ан 167);;;;;905,0мм.;Горизонтальн.;1;355 / 1
;KBE 737 (1,4);Армирующий профиль замкнутый 25*30 1,4 мм (ан 167);;;;;1086,9мм.;Наклон.;1;355 / 1
;Артикул;;;Название;;Размер;;Ориент.;Кол-во;Заказ / изделие
;S670.11Белый;Рама оконная 63 мм (Experta) NEW;;;;"(45°;61,1°) 376,0мм.";;Вертикальн.;1;355 / 1
;S670.11Белый;Рама оконная 63 мм (Experta) NEW;;;;"(28,9°;45°) 1006,0мм.";;Вертикальн.;1;355 / 1
;S670.11Белый;Рама оконная 63 мм (Experta) NEW;;;;"(45°;45°) 1006,0мм.";;Горизонтальн.;1;355 / 1
;S670.11Белый;Рама оконная 63 мм (Experta) NEW;;;;"(61,1°;28,9°) 1187,9мм.";;Наклон.;1;355 / 1
;;;;;;;;;;;СуперОкна 7СуперОкна 7
